product_id,category,sub_category,product_name,product_cost_to_consumer
TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,184.7916
TEC-MA-10001856,Technology,Machines,Okidata C610n Printer,599.027
OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,77.90276
FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,300.43728
TEC-PH-10001835,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,90.37028
FUR-TA-10004256,Furniture,Tables,Bretford â€œJust In Timeâ€ Height-Adjustable Multi-Task Work Tables,427.0002
TEC-PH-10002584,Technology,Phones,Samsung Galaxy S4,482.0123
TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,213.40564
FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",306.19008
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,221.57905
TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,475.79207
TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,233.9922
TEC-MA-10003674,Technology,Machines,Hewlett-Packard Deskjet 5550 Printer,255.4398
OFF-ST-10002292,Office Supplies,Storage,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",356.1408
OFF-BI-10003718,Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,76.74576
FUR-BO-10003893,Furniture,Bookcases,Sauder Camden County Collection Library,119.5792
FUR-CH-10002758,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",187.8646
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,262.46396
FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,212.83248
TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,327.5545
TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,293.2041
TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,518.6909
FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,393.71388
TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,423.49395
TEC-PH-10000560,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),277.19208
TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,317.7909
TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,335.738
TEC-PH-10001468,Technology,Phones,Panasonic BusinessÂ TelephonesÂ KX-T7736,140.1554
TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,311.6412
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",251.06276
FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",281.59742
FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,321.20064
FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",350.13888
FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,235.1466
TEC-MA-10001031,Technology,Machines,Socket Bluetooth Cordless Hand Scanner (CHS),142.6022
FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,216.48858
OFF-ST-10001097,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,234.178
TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active,480.99038
TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,230.99076
TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX ConferenceÂ phone,345.0174
TEC-MA-10002790,Technology,Machines,NeatDesk Desktop Scanner & Digital Filing System,296.79258
TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,262.7562
TEC-AC-10004420,Technology,Accessories,Cherry 142-key Programmable Keyboard,128.08524
TEC-PH-10002415,Technology,Phones,Polycom VoiceStation 500 ConferenceÂ phone,309.6975
TEC-PH-10002624,Technology,Phones,Samsung Galaxy S4 Mini,367.06219
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,227.84113
OFF-AP-10001564,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,240.95288
TEC-MA-10002428,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,93.76895
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,223.35038
FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",212.9868
FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,165.4224
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",255.6918
FUR-CH-10003312,Furniture,Chairs,Hon 2090 â€œPillow Softâ€ Series Mid Back Swivel/Tilt Chairs,339.70482
TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer,473.551
TEC-MA-10003246,Technology,Machines,Hewlett-Packard Deskjet D4360 Printer,92.3934
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,227.76534
FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,133.8204
TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,329.994
FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,161.14098
FUR-CH-10000229,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,349.02224
TEC-PH-10002834,Technology,Phones,Google Nexus 5,188.9895
FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,527.53194
FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,206.79318
OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",205.28625
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,187.9867
FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,184.50938
FUR-TA-10002228,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",304.35768
FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,277.8555
TEC-MA-10004458,Technology,Machines,Lexmark X 9575 Professional All-in-One Color Printer,56.628
TEC-AC-10000990,Technology,Accessories,Imation Bio 2GB USBÂ Flash Drive ImationÂ Corp,83.69284
TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,169.33536
TEC-PH-10004977,Technology,Phones,GE 30524EE4,153.06819
OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,226.19817
OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,199.35144
TEC-MA-10001570,Technology,Machines,Cisco Desktop Collaboration Experience DX650 IP Video Phone,66.45405
FUR-BO-10004690,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,153.42768
TEC-PH-10002075,Technology,Phones,AT&T EL51110 DECT,125.23406
TEC-PH-10004389,Technology,Phones,Nokia Lumia 925,121.20238
OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,427.8876
TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,107.05877
TEC-PH-10002824,Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,185.391
OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,82.78798
FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,153.51348
FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,115.11864
FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",123.71986
OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,154.60392
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,181.16098
OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,143.33616
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,173.34278
TEC-AC-10002637,Technology,Accessories,LogitechÂ VX Revolution Cordless Laser Mouse for Notebooks (Black),236.86684
TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,186.46964
TEC-PH-10003072,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,107.09286
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,139.00238
OFF-ST-10003816,Office Supplies,Storage,Fellowes High-Stak Drawer Files,149.23293
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,320.09376
TEC-MA-10002981,Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,92.81286
FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",204.12288
TEC-MA-10003176,Technology,Machines,Okidata B400 Printer,395.967
TEC-MA-10000904,Technology,Machines,"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",308.55188
OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",173.5272
TEC-PH-10002922,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,153.7809
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,318.63132
TEC-MA-10003066,Technology,Machines,Wasp CCD Handheld Bar Code Reader,116.6568
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,201.86608
OFF-ST-10000142,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,329.37696
FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,615.99564
FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",624.81132
TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,284.88964
OFF-EN-10004206,Office Supplies,Envelopes,Multimedia Mailers,123.17508
TEC-PH-10002817,Technology,Phones,RCA ViSYS 25425RE1 Corded phone,115.01148
OFF-ST-10000046,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,183.1977
FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,185.70552
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",176.05848
TEC-CO-10001943,Technology,Copiers,Canon PC-428 Personal Copier,116.59417
TEC-MA-10004255,Technology,Machines,Konica Minolta magicolor 1690MF Multifunction Printer,32.75181
TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,116.017
TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,99.54
OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,217.71022
TEC-PH-10003174,Technology,Phones,RCA ViSYS 25825 Wireless digital phone,127.3902
OFF-ST-10002615,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",137.69328
FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,177.17942
FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,90.882
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,176.89464
TEC-PH-10003273,Technology,Phones,AT&T TR1909W,121.20238
FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",126.8232
FUR-TA-10002530,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",153.9996
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,376.50613
TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,272.9909
TEC-PH-10001128,Technology,Phones,Motorola Droid Maxx,118.79208
FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,140.208
FUR-CH-10000847,Furniture,Chairs,Global Executive Mid-Back Manager's Chair,236.85772
FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",172.34784
TEC-MA-10002859,Technology,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder,62.00311
TEC-MA-10001016,Technology,Machines,Canon PC170 Desktop Personal Copier,118.6829
TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,365.876
FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",74.55426
OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,348.8745
TEC-PH-10002033,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,252.92016
FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,343.9702
FUR-CH-10002044,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",170.53596
FUR-FU-10004665,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",121.63824
FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,184.6584
FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",270.11952
TEC-PH-10002483,Technology,Phones,Motorola Moto X,273.01197
OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,70.47744
OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",174.14397
TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,141.7395
TEC-MA-10003356,Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,459.8489
OFF-PA-10002558,Office Supplies,Paper,Xerox 1938,29.8896
FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",130.51248
TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,527.7643
OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,239.18334
TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,265.2798
FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,258.96468
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,154.03248
TEC-AC-10003095,Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,111.53142
TEC-PH-10003580,Technology,Phones,Cisco IP Phone 7961G-GE VoIP phone,205.53442
TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,71.1414
TEC-PH-10002200,Technology,Phones,Aastra 6757i CT Wireless VoIP phone,198.85112
FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",157.59942
FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,292.0918
TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,110.87307
FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,486.99308
FUR-CH-10001802,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,124.24646
TEC-PH-10004094,Technology,Phones,Motorola L703CM,163.7895
TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,63.9324
TEC-PH-10001530,Technology,Phones,Plantronics Voyager Pro Legend,177.97536
TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,142.13277
FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,178.99583
OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,127.87801
FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",163.4688
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",124.85136
FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,130.53742
TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,266.49285
FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",252.8232
FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",277.80454
OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,256.47479
TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,140.39064
TEC-PH-10001051,Technology,Phones,HTC One,85.19148
TEC-PH-10004345,Technology,Phones,Cisco SPA 502G IP Phone,117.551
FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,301.4424
OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,140.30856
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,77.85008
TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,129.948
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,218.3402
FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",56.00764
TEC-PH-10000455,Technology,Phones,GE 30522EE2,98.82348
FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,89.8092
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,122.67299
OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,135.00432
TEC-MA-10003589,Technology,Machines,Cisco 8961 IP Phone Charcoal,155.95632
TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,120.08736
TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IPÂ Telephone,133.70838
TEC-PH-10000562,Technology,Phones,Samsung Convoy 3,95.89536
OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",119.63644
OFF-ST-10002574,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, Black",179.582
FUR-BO-10003660,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",221.20098
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,235.3224
FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,72.15318
TEC-PH-10000038,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,170.95104
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,228.375
FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,148.50108
FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",191.48172
TEC-AC-10004001,Technology,Accessories,Logitech Wireless Headset H600 Over-The-Head Design,35.50974
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,85.5699
FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",67.36002
FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",69.2055
TEC-AC-10002647,Technology,Accessories,"LogitechÂ Wireless Boombox Speaker - portable - wireless, wired",70.224
FUR-FU-10001488,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",110.2192
FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,113.9292
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,269.59777
TEC-MA-10002109,Technology,Machines,"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",120.59196
TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,55.43208
OFF-PA-10004359,Office Supplies,Paper,Multicolor Computer Printout Paper,59.9742
FUR-TA-10001307,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",313.1072
OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",99.31285
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",212.73952
OFF-AP-10003779,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,203.3304
